country,academic_year,academic_level,enrollment
Iraq,2011/12,enrollment_grad,458
Iraq,2011/12,enrollment_other,189
Iraq,2011/12,enrollment_undergrad,162
Iraq,2012/13,enrollment_grad,665
Iraq,2012/13,enrollment_other,189
Iraq,2012/13,enrollment_undergrad,220
Iraq,2013/14,enrollment_grad,941
Iraq,2013/14,enrollment_other,338
Iraq,2013/14,enrollment_undergrad,212
Iraq,2014/15,enrollment_grad,1176
Iraq,2014/15,enrollment_other,311
Iraq,2014/15,enrollment_undergrad,240
Iraq,2015/16,enrollment_grad,1461
Iraq,2015/16,enrollment_other,176
Iraq,2015/16,enrollment_undergrad,264
Iraq,2016/17,enrollment_grad,1343
Iraq,2016/17,enrollment_other,126
Iraq,2016/17,enrollment_undergrad,229
Iraq,2017/18,enrollment_grad,1114
Iraq,2017/18,enrollment_other,94
Iraq,2017/18,enrollment_undergrad,230
Iraq,2018/19,enrollment_grad,904
Iraq,2018/19,enrollment_other,99
Iraq,2018/19,enrollment_undergrad,234
Iraq,2019/20,enrollment_grad,682
Iraq,2019/20,enrollment_other,78
Iraq,2019/20,enrollment_undergrad,205
Iraq,2020/21,enrollment_grad,492
Iraq,2020/21,enrollment_other,93
Iraq,2020/21,enrollment_undergrad,186
Iraq,2021/22,enrollment_grad,367
Iraq,2021/22,enrollment_other,86
Iraq,2021/22,enrollment_undergrad,144
Iraq,2022/23,enrollment_grad,284
Iraq,2022/23,enrollment_other,103
Iraq,2022/23,enrollment_undergrad,157
Iraq,2023/24,enrollment_grad,248
Iraq,2023/24,enrollment_other,78
Iraq,2023/24,enrollment_undergrad,150
Iraq,2024/25,enrollment_grad,303
Iraq,2024/25,enrollment_other,90
Iraq,2024/25,enrollment_undergrad,179
Israel,2000/01,enrollment_grad,1492
Israel,2000/01,enrollment_other,185
Israel,2000/01,enrollment_undergrad,1724
Israel,2001/02,enrollment_grad,1666
Israel,2001/02,enrollment_other,212
Israel,2001/02,enrollment_undergrad,1580
Israel,2002/03,enrollment_grad,1697
Israel,2002/03,enrollment_other,246
Israel,2002/03,enrollment_undergrad,1578
Israel,2003/04,enrollment_grad,1711
Israel,2003/04,enrollment_other,233
Israel,2003/04,enrollment_undergrad,1530
Israel,2004/05,enrollment_grad,1653
Israel,2004/05,enrollment_other,287
Israel,2004/05,enrollment_undergrad,1383
Israel,2005/06,enrollment_grad,1721
Israel,2005/06,enrollment_other,343
Israel,2005/06,enrollment_undergrad,1355
Israel,2006/07,enrollment_grad,1673
Israel,2006/07,enrollment_other,413
Israel,2006/07,enrollment_undergrad,1183
Israel,2007/08,enrollment_grad,1511
Israel,2007/08,enrollment_other,462
Israel,2007/08,enrollment_undergrad,1031
Israel,2008/09,enrollment_grad,1593
Israel,2008/09,enrollment_other,412
Israel,2008/09,enrollment_undergrad,1055
Israel,2009/10,enrollment_grad,1446
Israel,2009/10,enrollment_other,439
Israel,2009/10,enrollment_undergrad,893
Israel,2010/11,enrollment_grad,1452
Israel,2010/11,enrollment_other,460
Israel,2010/11,enrollment_undergrad,789
Israel,2011/12,enrollment_grad,1322
Israel,2011/12,enrollment_other,408
Israel,2011/12,enrollment_undergrad,760
Israel,2012/13,enrollment_grad,1291
Israel,2012/13,enrollment_other,439
Israel,2012/13,enrollment_undergrad,700
Israel,2013/14,enrollment_grad,1329
Israel,2013/14,enrollment_other,478
Israel,2013/14,enrollment_undergrad,650
Israel,2014/15,enrollment_grad,1278
Israel,2014/15,enrollment_other,451
Israel,2014/15,enrollment_undergrad,641
Israel,2015/16,enrollment_grad,1190
Israel,2015/16,enrollment_other,490
Israel,2015/16,enrollment_undergrad,663
Israel,2016/17,enrollment_grad,1188
Israel,2016/17,enrollment_other,519
Israel,2016/17,enrollment_undergrad,686
Israel,2017/18,enrollment_grad,1119
Israel,2017/18,enrollment_other,510
Israel,2017/18,enrollment_undergrad,698
Israel,2018/19,enrollment_grad,1091
Israel,2018/19,enrollment_other,599
Israel,2018/19,enrollment_undergrad,702
Israel,2019/20,enrollment_grad,985
Israel,2019/20,enrollment_other,579
Israel,2019/20,enrollment_undergrad,662
Israel,2020/21,enrollment_grad,834
Israel,2020/21,enrollment_other,369
Israel,2020/21,enrollment_undergrad,641
Israel,2021/22,enrollment_grad,896
Israel,2021/22,enrollment_other,436
Israel,2021/22,enrollment_undergrad,695
Israel,2022/23,enrollment_grad,857
Israel,2022/23,enrollment_other,470
Israel,2022/23,enrollment_undergrad,692
Israel,2023/24,enrollment_grad,888
Israel,2023/24,enrollment_other,497
Israel,2023/24,enrollment_undergrad,782
Israel,2024/25,enrollment_grad,899
Israel,2024/25,enrollment_other,501
Israel,2024/25,enrollment_undergrad,866
Japan,2000/01,enrollment_grad,8560
Japan,2000/01,enrollment_other,5800
Japan,2000/01,enrollment_undergrad,32136
Japan,2001/02,enrollment_grad,9691
Japan,2001/02,enrollment_other,5531
Japan,2001/02,enrollment_undergrad,31588
Japan,2002/03,enrollment_grad,9516
Japan,2002/03,enrollment_other,4955
Japan,2002/03,enrollment_undergrad,31489
Japan,2003/04,enrollment_grad,8681
Japan,2003/04,enrollment_other,4229
Japan,2003/04,enrollment_undergrad,27925
Japan,2004/05,enrollment_grad,8497
Japan,2004/05,enrollment_other,5010
Japan,2004/05,enrollment_undergrad,28708
Japan,2005/06,enrollment_grad,8025
Japan,2005/06,enrollment_other,5928
Japan,2005/06,enrollment_undergrad,24759
Japan,2006/07,enrollment_grad,7008
Japan,2006/07,enrollment_other,6027
Japan,2006/07,enrollment_undergrad,22247
Japan,2007/08,enrollment_grad,6878
Japan,2007/08,enrollment_other,6265
Japan,2007/08,enrollment_undergrad,20831
Japan,2008/09,enrollment_grad,6287
Japan,2008/09,enrollment_other,6207
Japan,2008/09,enrollment_undergrad,16770
Japan,2009/10,enrollment_grad,5390
Japan,2009/10,enrollment_other,6389
Japan,2009/10,enrollment_undergrad,13063
Japan,2010/11,enrollment_grad,4650
Japan,2010/11,enrollment_other,6096
Japan,2010/11,enrollment_undergrad,10544
Japan,2011/12,enrollment_grad,4403
Japan,2011/12,enrollment_other,6204
Japan,2011/12,enrollment_undergrad,9359
Japan,2012/13,enrollment_grad,3944
Japan,2012/13,enrollment_other,6498
Japan,2012/13,enrollment_undergrad,9126
Japan,2013/14,enrollment_grad,3562
Japan,2013/14,enrollment_other,6617
Japan,2013/14,enrollment_undergrad,9155
Japan,2014/15,enrollment_grad,3290
Japan,2014/15,enrollment_other,6897
Japan,2014/15,enrollment_undergrad,8877
Japan,2015/16,enrollment_grad,3125
Japan,2015/16,enrollment_other,6650
Japan,2015/16,enrollment_undergrad,9285
Japan,2016/17,enrollment_grad,2967
Japan,2016/17,enrollment_other,6718
Japan,2016/17,enrollment_undergrad,9095
Japan,2017/18,enrollment_grad,2918
Japan,2017/18,enrollment_other,6645
Japan,2017/18,enrollment_undergrad,9190
Japan,2018/19,enrollment_grad,2875
Japan,2018/19,enrollment_other,6229
Japan,2018/19,enrollment_undergrad,9001
Japan,2019/20,enrollment_grad,2774
Japan,2019/20,enrollment_other,6096
Japan,2019/20,enrollment_undergrad,8684
Japan,2020/21,enrollment_grad,2678
Japan,2020/21,enrollment_other,1864
Japan,2020/21,enrollment_undergrad,7243
Japan,2021/22,enrollment_grad,3290
Japan,2021/22,enrollment_other,3151
Japan,2021/22,enrollment_undergrad,7008
Japan,2022/23,enrollment_grad,3516
Japan,2022/23,enrollment_other,5347
Japan,2022/23,enrollment_undergrad,7191
Japan,2023/24,enrollment_grad,2888
Japan,2023/24,enrollment_other,4618
Japan,2023/24,enrollment_undergrad,6453
Japan,2024/25,enrollment_grad,2744
Japan,2024/25,enrollment_other,4743
