country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
India,2009,0.07471739720242294,0,0,214.537,-0.009598142576063395
India,2010,0.031371498236328677,0,0,218.0555,-0.03551422621600864
India,2011,-0.009794510638556039,0,0,224.9391666666667,-0.035694872811319556
India,2012,-0.02693574720113053,0,0,229.59391666666667,0.059377505989992585
India,2013,-0.003943864345778536,0,0,232.95708333333337,0.2579574874742683
India,2014,0.0938800402176471,0,0,236.73616666666663,0.2219870222178617
India,2015,0.1797740052273742,0,0,237.017,0.11568743785549174
India,2016,0.1985439825158739,0,0,240.00716666666665,0.0523152290450426
India,2017,0.12999656303946536,0,0,245.11958333333337,0.02884064462311109
India,2018,0.06561443717454847,0,0,251.10683333333336,-0.04500453228520662
India,2019,0.012050447127649022,1,1,255.65741666666668,-0.14185968593275256
India,2020,-0.05267452453161603,1,4,258.8111666666667,0.17274619590954998
India,2021,-0.004706007436136399,1,3,270.96975000000003,0.3002061136507841
India,2022,0.1103642078758605,0,0,292.6549166666667,0.20951036133338086
India,2023,0.22748755696457165,1,1,304.7015833333333,0.09051971988683505
Iran,2000,-0.021990695765572,0,0,172.20000000000002,0.18376664375063534
Iran,2001,0.08088797399253167,0,0,177.0666666666667,0.01877569684243241
Iran,2002,0.06018388160916525,1,2,179.875,0.027518661564830182
Iran,2003,0.0766870007192993,1,2,183.95833333333337,-0.03062356536770494
Iran,2004,0.00522359767985255,1,1,188.88333333333333,0.07239297824399937
Iran,2005,0.023096024813708205,1,1,195.29166666666663,0.14406456643846788
Iran,2006,0.06194465977158744,1,1,201.59166666666667,0.09058280935722607
Iran,2007,0.10234678467989777,1,1,207.34241666666665,0.14373245241271881
Iran,2008,0.12612660940280426,1,1,215.3025,0.29198922827200313
Iran,2009,0.17543483001398266,1,1,214.537,0.17326211341865516
Iran,2010,0.20299459803445905,1,1,218.0555,0.21593669861517917
Iran,2011,0.22706268010194583,1,1,224.9391666666667,0.22503234219139223
Iran,2012,0.20474371807507552,0,0,229.59391666666667,0.15343156104361277
Iran,2013,0.1981335339500614,0,0,232.95708333333337,0.10636060398426217
Iran,2014,0.16160816907308906,0,0,236.73616666666663,0.07891583990693363
Iran,2015,0.11290266831160285,0,0,237.017,0.03002794652071472
Iran,2016,0.0717681301373035,0,0,240.00716666666665,0.011012460856123951
Iran,2017,0.039985415761257435,1,1,245.11958333333337,-0.05144564647764227
Iran,2018,-0.0034684130336011996,1,1,251.10683333333336,-0.058593454277039214
Iran,2019,-0.033008879966185845,1,2,255.65741666666668,-0.17485669295943396
Iran,2020,-0.09496526457137182,1,5,258.8111666666667,-0.033743748298361353
Iran,2021,-0.08906463184494484,1,4,270.96975000000003,0.15118000724079295
Iran,2022,-0.01914014467233412,0,0,292.6549166666667,0.1394562771084189
Iran,2023,0.0856308453502835,1,1,304.7015833333333,0.01801850550267936
Iraq,2000,0.3249262456241526,0,0,172.20000000000002,-0.05299253014051075
Iraq,2001,0.13596685774182093,0,0,177.0666666666667,-0.14624550032014483
Iraq,2002,0.04189607172116568,1,2,179.875,-0.056695343676545384
Iraq,2003,-0.08531112471240032,1,3,183.95833333333337,0.16833531481921504
Iraq,2004,-0.011535176392491723,1,2,188.88333333333333,0.2911970145592253
Iraq,2005,0.134278995233965,1,2,195.29166666666663,0.3213204316006104
Iraq,2006,0.2602842536596836,1,2,201.59166666666667,0.15850324382610026
Iraq,2007,0.2570068966619787,1,2,207.34241666666665,0.15647464090108176
Iraq,2008,0.21209943877593082,1,2,215.3025,0.16404979055799895
Iraq,2009,0.159675891761727,1,2,214.537,0.3758747844872419
Iraq,2010,0.23213307198210753,1,2,218.0555,0.27255195352497186
Iraq,2011,0.27082550952340423,1,2,224.9391666666667,0.28334635801031904
Iraq,2012,0.3105910320075109,0,0,229.59391666666667,0.3280570396959277
Iraq,2013,0.2946517837437395,0,0,232.95708333333337,0.14693876338194034
Iraq,2014,0.25278072036272903,0,0,236.73616666666663,0.0959942643417504
Iraq,2015,0.19033002247320616,0,0,237.017,-0.11292897561713655
Iraq,2016,0.043334684035518066,0,0,240.00716666666665,-0.16619782859029986
Iraq,2017,-0.06104417995522867,0,0,245.11958333333337,-0.15056416588850485
Iraq,2018,-0.14323032336531374,0,0,251.10683333333336,-0.2483162710535014
Iraq,2019,-0.18835942184410204,1,1,255.65741666666668,-0.2244397277756569
Iraq,2020,-0.20777338823922106,1,4,258.8111666666667,-0.25577126017072693
Iraq,2021,-0.24284241966662842,1,3,270.96975000000003,-0.09296786653666
Iraq,2022,-0.1910596181610146,0,0,292.6549166666667,-0.13353139262452185
